"STT","Nhóm","Nhà cung cấp","Mô hình / chế độ","Credit","Đơn vị tính","Giá USD","Giá tham chiếu FAL USD","Mức tiết kiệm (%)","Trang model","Ngày đối chiếu","Nguồn"
"302","music","Elevenlabs","Elevenlabs Text to Speech, multilingual v2","12.0","per 1000 characters","0.06","0.1","40","https://kie.ai/elevenlabs-tts?model=elevenlabs%2Ftext-to-speech-multilingual-v2","2026-07-20","https://kie.ai/pricing"
"303","video","Wan","Wan 2.2 A14B Turbo API Speech to Video, 480p","12.0","per second","0.06","0.1","40","https://kie.ai/wan-speech-to-video-turbo","2026-07-20","https://kie.ai/pricing"
"304","video","Wan","Wan 2.2 A14B Turbo API Speech to Video, 720p","24.0","per second","0.12","0.2","40","https://kie.ai/wan-speech-to-video-turbo","2026-07-20","https://kie.ai/pricing"
"305","video","Wan","Wan 2.2 A14B Turbo API Speech to Video, 580p","18.0","per second","0.09","0.15","40","https://kie.ai/wan-speech-to-video-turbo","2026-07-20","https://kie.ai/pricing"
"306","image","Qwen","Qwen Image , text-to-image","4.0","per megapixel","0.02","0.03","33.33","https://kie.ai/qwen-image","2026-07-20","https://kie.ai/pricing"
"307","image","Qwen","Qwen Image, image-to-image","4.0","per megapixel","0.02","","33.33","https://kie.ai/qwen-image","2026-07-20","https://kie.ai/pricing"
"308","image","Google","google imagen4, text-to-image, Fast","4.0","per request","0.02","","0","https://kie.ai/google/imagen4?model=google%2Fimagen4-fast","2026-07-20","https://kie.ai/pricing"
"309","image","Google","google imagen4, text-to-image, Ultra","12.0","per image","0.06","","0","https://kie.ai/google/imagen4?model=google%2Fimagen4-ultra","2026-07-20","https://kie.ai/pricing"
"310","image","Google","Google nano banana edit, image-to-image","4.0","per image","0.02","0.039","48.72","https://kie.ai/nano-banana?model=google%2Fnano-banana-edit","2026-07-20","https://kie.ai/pricing"
"311","image","Google","Google nano banana, text-to-image","4.0","per image","0.02","0.039","48.72","https://kie.ai/nano-banana","2026-07-20","https://kie.ai/pricing"
"312","video","Runway","Runway Aleph","110.0","per video","0.55","","0","https://docs.kie.ai/runway-api/generate-aleph-video","2026-07-20","https://kie.ai/pricing"
"313","video","Runway","Runway, text-to-video, 5.0s-720p","12.0","per video","0.06","","0","https://kie.ai/runway-api","2026-07-20","https://kie.ai/pricing"
"314","video","Runway","Runway, text-to-video, 10.0s-720p","30.0","per video","0.15","","0","https://kie.ai/runway-api","2026-07-20","https://kie.ai/pricing"
"315","video","Runway","Runway, text-to-video, 5.0s-1080p","30.0","per video","0.15","","0","https://kie.ai/runway-api","2026-07-20","https://kie.ai/pricing"
"316","video","Runway","Runway, image-to-video, 5.0s-720p","12.0","per video","0.06","","0","https://kie.ai/runway-api","2026-07-20","https://kie.ai/pricing"
"317","video","Runway","Runway, image-to-video, 10.0s-720p","30.0","per video","0.15","","0","https://kie.ai/runway-api","2026-07-20","https://kie.ai/pricing"
"318","video","Runway","Runway, image-to-video, 5.0s-1080p","30.0","per video","0.15","","0","https://kie.ai/runway-api","2026-07-20","https://kie.ai/pricing"
"319","music","Suno","Suno, Advanced Split","20","per request","0.1","","0","https://kie.ai/suno-api?model=ai-music-api%2Fseparate-vocals","2026-07-20","https://kie.ai/pricing"
"320","music","Suno","Suno, TimeStamped Lyrics","0.5","per request","0.0025","","0","https://kie.ai/suno-api?model=ai-music-api%2FtimeStamped-lyrics","2026-07-20","https://kie.ai/pricing"
"321","music","Suno","Suno, Cover Generate","0","per request","0","","0","https://kie.ai/suno-api?model=ai-music-api%2Fcover-generate","2026-07-20","https://kie.ai/pricing"
"322","music","Suno","Suno, Generate Persona","0","per request ","0","","0","https://kie.ai/suno-api?model=ai-music-api%2Fgenerate-persona","2026-07-20","https://kie.ai/pricing"
"323","music","Suno","Suno, Generate Midi From Audio","0","per request","0","","0","https://kie.ai/suno-api?model=ai-music-api%2Fgenerate-midi-from-audio","2026-07-20","https://kie.ai/pricing"
"324","music","Suno","Suno, Generate sounds","2.5","per request","0.0125","","0","https://kie.ai/suno-api?model=ai-music-api%2Fsounds","2026-07-20","https://kie.ai/pricing"
"325","music","Suno","Suno, Mashup","12","per request","0.06","","0","https://kie.ai/suno-api?model=ai-music-api%2Fmashup","2026-07-20","https://kie.ai/pricing"
"326","music","Suno","Suno, Replace Music Section","5","per request","0.025","","0","https://docs.kie.ai/suno-api/replace-section","2026-07-20","https://kie.ai/pricing"
"327","music","Suno","Suno, Multi-Stem Separation, without stemName","50","per request","0.25","","0","https://kie.ai/suno-api?model=ai-music-api%2Fseparate-vocals","2026-07-20","https://kie.ai/pricing"
"328","music","Suno","Suno, Vocal  Separate","10","per request","0.05","","0","https://kie.ai/suno-api?model=ai-music-api%2Fseparate-vocals","2026-07-20","https://kie.ai/pricing"
"329","music","Suno","Suno, convert-to-wav-format","0.4","per request","0.002","","0","https://kie.ai/suno-api?model=ai-music-api%2Fconvert-to-wav-format","2026-07-20","https://kie.ai/pricing"
"330","music","Suno","Suno, Generate Lyrics","0.4","per request","0.002","","0","https://docs.kie.ai/suno-api/generate-lyrics","2026-07-20","https://kie.ai/pricing"
"331","music","Suno","Suno, upload-and-cover-audio","12.0","per request","0.06","","0","https://kie.ai/suno-api?model=ai-music-api%2Fupload-and-cover-audio","2026-07-20","https://kie.ai/pricing"
"332","music","Suno","Suno, create-music-video","2.0","per request","0.01","","0","https://kie.ai/suno-api?model=ai-music-api%2Fcreate-music-video","2026-07-20","https://kie.ai/pricing"
"333","music","Suno","Suno, upload-and-extend-audio","12.0","per request","0.06","","0","https://kie.ai/suno-api?model=ai-music-api%2Fextend","2026-07-20","https://kie.ai/pricing"
"334","music","Suno","Suno, add-instrumental","12.0","per request","0.06","","0","https://kie.ai/suno-api?model=ai-music-api%2Fadd-instrumental","2026-07-20","https://kie.ai/pricing"
"335","music","Suno","Suno, Generate Music ","12.0","per request","0.06","","0","https://kie.ai/suno-api?model=ai-music-api%2Fgenerate","2026-07-20","https://kie.ai/pricing"
"336","music","Suno","Suno, Extend Music","12.0","per request","0.06","","0","https://kie.ai/suno-api","2026-07-20","https://kie.ai/pricing"
"337","music","Suno","Suno, add-vocals","12.0","per request","0.06","","0","https://kie.ai/suno-api","2026-07-20","https://kie.ai/pricing"
"338","image","Qwen","Qwen image-edit, image-to-image","5.0","per megapixel","0.03","0.035","14.29","https://kie.ai/qwen/image-edit","2026-07-20","https://kie.ai/pricing"
"339","image","Ideogram","ideogram character, image-to-image, BALANCED","18.0","per image","0.09","0.15","40","https://kie.ai/ideogram/character","2026-07-20","https://kie.ai/pricing"
"340","image","Ideogram","ideogram character, image-to-image, QUALITY","24.0","per image","0.12","0.2","40","https://kie.ai/ideogram/character?model=ideogram%2Fcharacter","2026-07-20","https://kie.ai/pricing"
"341","image","Ideogram","ideogram character-remix, image-to-image, BALANCED","18.0","per image","0.09","0.15","40","https://kie.ai/ideogram/character?model=ideogram%2Fcharacter-remix","2026-07-20","https://kie.ai/pricing"
"342","image","Ideogram","ideogram character-remix, image-to-image, QUALITY","24.0","per image","0.12","0.2","40","https://kie.ai/ideogram/character?model=ideogram%2Fcharacter-remix","2026-07-20","https://kie.ai/pricing"
"343","image","Ideogram","ideogram character, image-to-image, TURBO","12.0","per image","0.06","0.1","40","https://kie.ai/ideogram/character?model=ideogram%2Fcharacter","2026-07-20","https://kie.ai/pricing"
"344","image","Ideogram","ideogram character-remix, image-to-image, TURBO","12.0","per image","0.06","0.1","40","https://kie.ai/ideogram/character?model=ideogram%2Fcharacter-remix","2026-07-20","https://kie.ai/pricing"
"345","image","Ideogram","ideogram character-edit, image-to-image, QUALITY","24.0","per image","0.12","0.2","40","https://kie.ai/ideogram/character?model=ideogram%2Fcharacter-edit","2026-07-20","https://kie.ai/pricing"
"346","image","Ideogram","ideogram character-edit, image-to-image, TURBO","12.0","per image","0.06","0.1","40","https://kie.ai/ideogram/character?model=ideogram%2Fcharacter-edit","2026-07-20","https://kie.ai/pricing"
"347","image","Ideogram","ideogram character-edit, image-to-image, BALANCED","18.0","per image","0.09","0.15","40","https://kie.ai/ideogram/character?model=ideogram%2Fcharacter-edit","2026-07-20","https://kie.ai/pricing"
"348","video","Kling","Kling 2.1, video-generation, Pro-10.0s","100.0","per video","0.5","0.9","44.44","https://kie.ai/kling/v2-1?model=kling%2Fv2-1-pro","2026-07-20","https://kie.ai/pricing"
"349","video","Kling","Kling 2.1, text-to-video, Master-5.0s","160.0","per video","0.8","1.4","42.86","https://kie.ai/kling/v2-1?model=kling%2Fv2-1-master-text-to-video","2026-07-20","https://kie.ai/pricing"
"350","video","Kling","Kling 2.1, text-to-video, Master-10.0s","320.0","per video","1.6","2.8","42.86","https://kie.ai/kling/v2-1?model=kling%2Fv2-1-master-text-to-video","2026-07-20","https://kie.ai/pricing"
"351","video","Kling","Kling 2.1, video-generation, Standard-5.0s","25.0","per video","0.125","0.25","50","https://kie.ai/kling/v2-1?model=kling%2Fv2-1-standard","2026-07-20","https://kie.ai/pricing"
"352","video","Kling","Kling 2.1, video-generation, Standard-10.0s","50.0","per video","0.25","0.5","50","https://kie.ai/kling/v2-1?model=kling%2Fv2-1-standard","2026-07-20","https://kie.ai/pricing"
"353","video","Kling","Kling 2.1, video-generation, Pro-5.0s","50.0","per video","0.25","0.45","44.44","https://kie.ai/kling/v2-1?model=kling%2Fv2-1-pro","2026-07-20","https://kie.ai/pricing"
"354","video","Kling","Kling 2.1, image-to-video, Master-5.0s","160.0","per video","0.8","1.4","42.86","https://kie.ai/kling/v2-1?model=kling%2Fv2-1-master-image-to-video","2026-07-20","https://kie.ai/pricing"
"355","video","Kling","Kling 2.1, image-to-video, Master-10.0s","320.0","per video","1.6","2.8","42.86","https://kie.ai/kling/v2-1?model=kling%2Fv2-1-master-image-to-video","2026-07-20","https://kie.ai/pricing"
"356","image","Ideogram","ideogram v3,  text-to-image, QUALITY","10.0","per image","0.05","0.09","44.44","https://kie.ai/ideogram/v3?model=ideogram%2Fv3-text-to-image","2026-07-20","https://kie.ai/pricing"
"357","image","Ideogram","ideogram v3,  text-to-image, TURBO","3.5","per image","0.0175","0.03","41.67","https://kie.ai/ideogram/v3?model=ideogram%2Fv3-text-to-image","2026-07-20","https://kie.ai/pricing"
"358","image","Ideogram","ideogram v3,  text-to-image, BALANCED","7.0","per image","0.035","0.06","41.67","https://kie.ai/ideogram/v3?model=ideogram%2Fv3-text-to-image","2026-07-20","https://kie.ai/pricing"
"359","image","Topaz","Topaz Image Upscaler, image-upscale, 8K","40.0","per image","0.2","0.32","37.5","https://kie.ai/topaz-image-upscale","2026-07-20","https://kie.ai/pricing"
"360","image","Topaz","Topaz Image Upscaler, image-upscale, 4K","20.0","per image","0.1","0.16","37.5","https://kie.ai/topaz-image-upscale","2026-07-20","https://kie.ai/pricing"
"361","image","Topaz","Topaz Image Upscaler, image-upscale, 2K","10.0","per image","0.05","0.08","37.5","https://kie.ai/topaz-image-upscale","2026-07-20","https://kie.ai/pricing"
"362","chat","Google","Gemini 2.5 flash, Chat, Output","150","per million tokens","0.75","2.50","70","https://kie.ai/gemini-2.5-flash","2026-07-20","https://kie.ai/pricing"
"363","chat","Google","Gemini 2.5 flash, Chat, Input","18","per million tokens","0.09","0.30","70","Gemini 2.5 flash","2026-07-20","https://kie.ai/pricing"
"364","chat","Google","Gemini 2.5 Pro, Chat, Output","600","per million tokens","3.00","10","70","https://kie.ai/gemini-2.5-pro","2026-07-20","https://kie.ai/pricing"
"365","chat","Google","Gemini 2.5 Pro, Chat, Input","76","per million tokens","0.38","1.25","69.6","https://kie.ai/gemini-2.5-pro","2026-07-20","https://kie.ai/pricing"
"366","video","Kling","kling 2.6 motion control, video to video, 1080P","18","per second","0.09","0.112","19.64","https://kie.ai/kling-2.6-motion-control","2026-07-20","https://kie.ai/pricing"
"367","video","Kling","kling 2.6 motion control, video-to-video, 720P","11","per second","0.055","0.07","21.43","https://kie.ai/kling-2.6-motion-control","2026-07-20","https://kie.ai/pricing"
"368","image","OpenAI","gpt image 1.5, image-to-image, high","22.0","per image","0.11","0.133","17.29","https://kie.ai/gpt-image-1.5?model=gpt-image%2F1.5-image-to-image","2026-07-20","https://kie.ai/pricing"
"369","image","OpenAI","gpt image 1.5, image-to-image, medium","4.0","per image","0.02","0.034","41.18","https://kie.ai/gpt-image-1.5?model=gpt-image%2F1.5-image-to-image","2026-07-20","https://kie.ai/pricing"
"370","image","OpenAI","gpt image 1.5, text-to-image, high","22.0","per image","0.11","0.133","17.29","https://kie.ai/gpt-image-1.5?model=gpt-image%2F1.5-text-to-image","2026-07-20","https://kie.ai/pricing"
"371","image","OpenAI","gpt image 1.5, text-to-image, medium","4.0","per image","0.02","0.034","41.18","https://kie.ai/gpt-image-1.5?model=gpt-image%2F1.5-text-to-image","2026-07-20","https://kie.ai/pricing"
"372","image","Google","google imagen4, text-to-image, default","8.0","per request","0.04","","0","https://kie.ai/google/imagen4?model=google%2Fimagen4","2026-07-20","https://kie.ai/pricing"

